title,company,salary,location,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Back-End Developer,,Thỏa thuận,,https://www.topcv.vn/viec-lam/back-end-developer/1888410.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.616833,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.616833,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.616833,,,Negotiable,,,
Mobile Developer (IOS Hoặc Android Developer),,Thỏa thuận,,https://www.topcv.vn/viec-lam/mobile-developer-ios-hoac-android-developer/1913414.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.616833,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.616833,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.616833,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.616833,,,Negotiable,,,
Kỹ Sư Lập Trình Frontend  (ReactJS/TypeScript),,Thỏa thuận,,https://www.topcv.vn/viec-lam/ky-su-lap-trinh-frontend-reactjs-typescript/2022118.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.616833,,,Negotiable,,,
Frontend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-frontend-developer-cr257cb258cl273,2026-01-30T04:02:01.616833,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.616833,,,Negotiable,,,
Frontend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-frontend-developer-cr257cb258cl273,2026-01-30T04:02:01.616833,,,Negotiable,,,
